epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,4960.17,1.47502,1.85336,1.41263,0.30398,0.56859,0.28992,0.14417,1.24639,1.67112,1.1272,0.000792325,0.000792325,0.000792325
55,5045.64,1.47719,1.8042,1.43118,0.3236,0.52411,0.32779,0.16449,1.25302,2.21149,1.17489,0.000775822,0.000775822,0.000775822
56,5131.51,1.46234,1.79931,1.42463,0.33501,0.5917,0.34608,0.17327,1.18986,2.73298,1.13109,0.000759318,0.000759318,0.000759318
57,5216.14,1.47213,1.84509,1.42346,0.3136,0.62206,0.34073,0.17706,1.20103,2.35837,1.12162,0.000742815,0.000742815,0.000742815
58,5301.42,1.43889,1.78411,1.39581,0.31303,0.57812,0.3454,0.17223,1.24023,3.6861,1.17541,0.000726312,0.000726312,0.000726312
59,5386.38,1.46009,1.76409,1.41282,0.35804,0.56571,0.34778,0.17753,1.19875,2.14442,1.13281,0.000709809,0.000709809,0.000709809
60,5473.55,1.42896,1.77478,1.40415,0.34072,0.61737,0.35267,0.17882,1.19487,1.86393,1.113,0.000693305,0.000693305,0.000693305
61,5559.06,1.40826,1.74586,1.39455,0.33002,0.61021,0.35719,0.17416,1.19692,2.39122,1.11439,0.000676802,0.000676802,0.000676802
62,5641.04,1.4069,1.70641,1.37645,0.35035,0.56639,0.3479,0.18235,1.1965,1.61528,1.11997,0.000660299,0.000660299,0.000660299
63,5723.34,1.42503,1.74672,1.4042,0.33251,0.61702,0.3519,0.18456,1.16024,1.85976,1.10046,0.000643795,0.000643795,0.000643795
64,5805.6,1.39888,1.73466,1.40397,0.36105,0.58629,0.37316,0.19575,1.20653,1.72336,1.12069,0.000627292,0.000627292,0.000627292
65,5887.83,1.39837,1.71938,1.38117,0.32499,0.60754,0.37179,0.19561,1.15182,1.66609,1.09457,0.000610789,0.000610789,0.000610789
66,5969.72,1.39069,1.66216,1.36379,0.33197,0.65731,0.38395,0.2099,1.13659,2.14241,1.07838,0.000594286,0.000594286,0.000594286
67,6051.83,1.37559,1.67519,1.36483,0.33612,0.60615,0.37385,0.19706,1.17536,1.93114,1.11404,0.000577782,0.000577782,0.000577782
68,6133.77,1.37741,1.67736,1.36512,0.39545,0.53584,0.38405,0.2091,1.19159,1.75207,1.11392,0.000561279,0.000561279,0.000561279
69,6215.77,1.36261,1.65788,1.3698,0.37198,0.62611,0.38367,0.2076,1.14744,2.26297,1.10109,0.000544776,0.000544776,0.000544776
70,6297.76,1.32929,1.64075,1.34422,0.39632,0.64644,0.38684,0.2133,1.15291,2.69798,1.10225,0.000528272,0.000528272,0.000528272
71,6379.73,1.32672,1.56591,1.33271,0.39723,0.64065,0.40765,0.21664,1.15251,1.49232,1.09025,0.000511769,0.000511769,0.000511769
72,6461.68,1.34562,1.60253,1.35274,0.34741,0.68013,0.37893,0.20708,1.15219,2.01124,1.09874,0.000495266,0.000495266,0.000495266
73,6543.46,1.32952,1.58796,1.34124,0.37867,0.62406,0.38786,0.20919,1.19618,1.97141,1.12322,0.000478762,0.000478762,0.000478762
74,6625.53,1.29947,1.53103,1.31981,0.37778,0.59297,0.39409,0.21906,1.14834,1.82725,1.0956,0.000462259,0.000462259,0.000462259
75,6708.93,1.3443,1.58183,1.346,0.36755,0.63887,0.38462,0.21525,1.15385,1.71063,1.09585,0.000445756,0.000445756,0.000445756
76,6791.24,1.27832,1.52335,1.30382,0.33088,0.63278,0.34499,0.18906,1.17192,2.0103,1.12068,0.000429253,0.000429253,0.000429253
77,6873.39,1.26286,1.50805,1.29514,0.40366,0.67144,0.39084,0.21823,1.11283,1.64344,1.07749,0.000412749,0.000412749,0.000412749
78,6956.8,1.26952,1.47198,1.30541,0.39435,0.69141,0.38957,0.22054,1.12663,2.12584,1.06667,0.000396246,0.000396246,0.000396246
79,7041.23,1.2991,1.51773,1.32157,0.39744,0.66615,0.41053,0.225,1.13595,1.70644,1.11074,0.000379743,0.000379743,0.000379743
80,7125.9,1.27325,1.51133,1.31303,0.38064,0.66062,0.40108,0.22927,1.13276,1.46919,1.08219,0.000363239,0.000363239,0.000363239
81,7209.65,1.27782,1.45003,1.29275,0.40948,0.69055,0.41751,0.24104,1.15035,1.52197,1.09512,0.000346736,0.000346736,0.000346736
82,7292.67,1.21679,1.42731,1.27154,0.39417,0.67481,0.41692,0.22819,1.15761,1.5152,1.13785,0.000330233,0.000330233,0.000330233
83,7375.6,1.2693,1.46088,1.30082,0.40976,0.68068,0.41631,0.24152,1.12377,1.58742,1.08319,0.000313729,0.000313729,0.000313729
84,7458.38,1.23281,1.43,1.27673,0.41899,0.62899,0.41115,0.22699,1.13768,1.84427,1.11014,0.000297226,0.000297226,0.000297226
85,7540.26,1.23325,1.45129,1.28455,0.41487,0.71851,0.42042,0.24066,1.10199,1.5336,1.06979,0.000280723,0.000280723,0.000280723
86,7622.05,1.20557,1.39579,1.26129,0.41075,0.64761,0.40446,0.23218,1.15779,1.38075,1.14232,0.00026422,0.00026422,0.00026422
87,7704.27,1.22199,1.36339,1.26547,0.39817,0.66189,0.39664,0.22568,1.1201,1.59423,1.11532,0.000247716,0.000247716,0.000247716
88,7787.08,1.21646,1.40344,1.27341,0.41259,0.62595,0.40591,0.23179,1.12634,1.54059,1.10541,0.000231213,0.000231213,0.000231213
89,7870.84,1.19918,1.38291,1.25726,0.41916,0.67322,0.40175,0.22974,1.13387,1.47547,1.10342,0.00021471,0.00021471,0.00021471
90,7954.59,1.19497,1.35092,1.26217,0.42222,0.68627,0.40568,0.23346,1.10943,1.55463,1.09405,0.000198206,0.000198206,0.000198206
91,8068.36,1.11132,1.12886,1.22464,0.42531,0.65927,0.41788,0.24364,1.10941,1.53454,1.08835,0.000181703,0.000181703,0.000181703
92,8153.59,1.08158,1.11992,1.19811,0.42708,0.65473,0.41242,0.24095,1.10725,1.85693,1.08028,0.0001652,0.0001652,0.0001652
93,8237.71,1.08361,1.10655,1.21035,0.4427,0.68179,0.43177,0.25202,1.09523,1.5547,1.09022,0.000148696,0.000148696,0.000148696
94,8321.12,1.0777,1.06988,1.19155,0.44133,0.64162,0.42711,0.25876,1.09719,1.45155,1.08651,0.000132193,0.000132193,0.000132193
95,8403.54,1.05383,1.05863,1.18803,0.43899,0.69218,0.42557,0.25709,1.08946,1.77237,1.08296,0.00011569,0.00011569,0.00011569
96,8487.4,1.03531,1.0474,1.17559,0.44282,0.6723,0.42342,0.25822,1.06787,1.475,1.06224,9.91865e-05,9.91865e-05,9.91865e-05
97,8573.21,1.03952,1.04128,1.17455,0.44934,0.66709,0.42016,0.25667,1.08312,1.52906,1.06896,8.26832e-05,8.26832e-05,8.26832e-05
98,8656.5,1.01129,1.03121,1.16774,0.44036,0.69093,0.42133,0.25691,1.07238,1.54058,1.06729,6.61799e-05,6.61799e-05,6.61799e-05
99,8739.99,1.02579,1.00991,1.16731,0.42743,0.68105,0.42266,0.25768,1.07676,1.63352,1.0701,4.96766e-05,4.96766e-05,4.96766e-05
100,8823.15,1.01213,1.03567,1.169,0.43683,0.68694,0.43006,0.2646,1.07535,1.53563,1.06741,3.31733e-05,3.31733e-05,3.31733e-05
