epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,13020.9,1.34465,1.65149,1.24819,0.75433,0.55647,0.65171,0.29262,0.21331,0.40839,0.22401,0.004258,0.004258,0.004258
60,13264.4,1.25798,1.49687,1.16861,0.71752,0.59185,0.63849,0.27969,0.2163,0.43477,0.22469,0.004159,0.004159,0.004159
61,13507.7,1.27122,1.49775,1.1812,0.71783,0.56634,0.63059,0.28266,0.21414,0.49409,0.22226,0.00406,0.00406,0.00406
62,13748.3,1.32473,1.62337,1.23262,0.70002,0.56634,0.63014,0.27493,0.2161,0.50599,0.22327,0.003961,0.003961,0.003961
63,13971.1,1.32422,1.56396,1.24252,0.75021,0.57345,0.64815,0.28559,0.21935,0.56013,0.22514,0.003862,0.003862,0.003862
64,14190.3,1.27054,1.54053,1.20458,0.66026,0.57605,0.62289,0.2782,0.21679,0.41667,0.22595,0.003763,0.003763,0.003763
65,14409.8,1.33426,1.60256,1.24176,0.65346,0.61165,0.64727,0.29231,0.21661,0.45774,0.22343,0.003664,0.003664,0.003664
66,14628.8,1.28423,1.55664,1.19852,0.73519,0.59871,0.66577,0.2889,0.21958,0.44958,0.22707,0.003565,0.003565,0.003565
67,14849.2,1.28255,1.50044,1.1886,0.70839,0.62893,0.67255,0.30606,0.21269,0.43437,0.2203,0.003466,0.003466,0.003466
68,15068.1,1.29702,1.51609,1.19516,0.70866,0.65049,0.66481,0.30196,0.21169,0.44354,0.21893,0.003367,0.003367,0.003367
69,15286.4,1.25014,1.51061,1.15708,0.71564,0.57929,0.67318,0.3055,0.20979,0.46889,0.21765,0.003268,0.003268,0.003268
70,15505.5,1.2681,1.47628,1.15917,0.69732,0.59871,0.66119,0.3018,0.21095,0.46268,0.21924,0.003169,0.003169,0.003169
71,15724.6,1.27403,1.52911,1.21898,0.69597,0.6246,0.67642,0.30074,0.21117,0.43104,0.22,0.00307,0.00307,0.00307
72,15943.9,1.28352,1.51342,1.21687,0.68986,0.61165,0.6661,0.30567,0.2117,0.38735,0.21944,0.002971,0.002971,0.002971
73,16162.7,1.26114,1.41557,1.15261,0.70138,0.60194,0.64758,0.29936,0.21719,0.4426,0.22309,0.002872,0.002872,0.002872
74,16381.8,1.2704,1.48169,1.19537,0.74064,0.59146,0.67325,0.30207,0.21635,0.39745,0.22504,0.002773,0.002773,0.002773
75,16601.2,1.29457,1.5141,1.22917,0.72102,0.58547,0.66972,0.31031,0.21374,0.39605,0.22334,0.002674,0.002674,0.002674
76,16819.9,1.25685,1.45278,1.15674,0.69663,0.59223,0.64338,0.30359,0.21409,0.3978,0.22354,0.002575,0.002575,0.002575
77,17038.6,1.2556,1.43221,1.16637,0.72055,0.60841,0.6708,0.31481,0.21514,0.41081,0.22481,0.002476,0.002476,0.002476
78,17257.8,1.27205,1.44735,1.18629,0.74776,0.59482,0.68107,0.31262,0.21683,0.42692,0.22587,0.002377,0.002377,0.002377
79,17476.4,1.22154,1.38662,1.1597,0.68705,0.66075,0.69354,0.31614,0.21685,0.41332,0.22508,0.002278,0.002278,0.002278
80,17694.7,1.20467,1.34504,1.12981,0.69694,0.61489,0.68636,0.31971,0.21407,0.39077,0.22255,0.002179,0.002179,0.002179
81,17914.8,1.22894,1.38722,1.13565,0.7015,0.63754,0.68623,0.32056,0.2128,0.33595,0.22237,0.00208,0.00208,0.00208
82,18135,1.29986,1.45257,1.22623,0.6955,0.64078,0.69359,0.32995,0.21326,0.38471,0.22307,0.001981,0.001981,0.001981
83,18354.2,1.26092,1.41098,1.16663,0.69397,0.64078,0.68442,0.3248,0.21407,0.37474,0.22314,0.001882,0.001882,0.001882
84,18573.1,1.20919,1.37864,1.13867,0.71819,0.6343,0.67508,0.32672,0.21406,0.389,0.22217,0.001783,0.001783,0.001783
85,18792.5,1.27183,1.4301,1.19738,0.72046,0.63392,0.67601,0.3242,0.21546,0.40486,0.22321,0.001684,0.001684,0.001684
86,19011.2,1.19925,1.36684,1.13656,0.74157,0.63148,0.69422,0.33065,0.21415,0.3828,0.22206,0.001585,0.001585,0.001585
87,19231.1,1.2823,1.37315,1.20359,0.71303,0.63524,0.68895,0.32786,0.21444,0.40595,0.22211,0.001486,0.001486,0.001486
88,19450.3,1.25171,1.36589,1.18997,0.70569,0.6363,0.69899,0.32885,0.21425,0.40205,0.22212,0.001387,0.001387,0.001387
89,19669.1,1.21604,1.31646,1.14408,0.68939,0.63926,0.69782,0.32865,0.21251,0.38005,0.22083,0.001288,0.001288,0.001288
